HPC95,parameter.value,count
0,3836,0
0,3838.666667,0
0,3841.333333,0
0,3844,0
0,3846.666667,0
0,3849.333333,0
0,3852,0
0,3854.666667,0
0,3857.333333,0
0,3860,0
0,3862.666667,0
0,3865.333333,0
0,3868,0
0,3870.666667,0
0,3873.333333,0
0,3876,0
0,3878.666667,0
0,3881.333333,0
0,3884,0
0,3886.666667,0
0,3889.333333,0
0,3892,0
0,3894.666667,0
0,3897.333333,0
0,3900,0
0,3902.666667,0
0,3905.333333,0
0,3908,0
0,3910.666667,0
0,3913.333333,0
0,3916,0
0,3918.666667,0
0,3921.333333,0
0,3924,0
0,3926.666667,0
0,3929.333333,0
0,3932,0
0,3934.666667,0
0,3937.333333,0
0,3940,0
0,3942.666667,0
0,3945.333333,0
0,3948,0
0,3950.666667,0
0,3953.333333,0
0,3956,0
0,3958.666667,0
0,3961.333333,0
0,3964,0
0,3966.666667,0
0,3969.333333,0
0,3972,0
0,3974.666667,0
0,3977.333333,0
0,3980,0
0,3982.666667,0
0,3985.333333,0
0,3988,0
0,3990.666667,0
0,3993.333333,0
0,3996,0
0,3998.666667,0
